/* DATA DESCRIPTION:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Citation:,"Douville, Eric"," Bourdin, Guillaume"," Lombard, Fabien"," Gorsky, G"," Fin, Jonathan"," Metzl, Nicolas"," Pesant, Stephane"," Tara Pacific Consortium (2022): Seawater carbonate chemistry dataset collected during the Tara Pacific Expedition 2016-2018 [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.944420",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abstract:,"The Tara Pacific expedition (2016-2018) sampled coral ecosystems around 32 islands in the Pacific Ocean, and sampled the surface of oceanic waters at 249 locations, resulting in the collection of nearly 58,000 samples. The expedition was designed to systematically study corals, fish, plankton, and seawater, and included the collection of samples for advanced biogeochemical, molecular, and imaging analysis. Here we provide results of carbonate chemistry for seawater samples collected during the expedition at the offshore and inshore sampling stations as well as at coral sampling sites (a few meters from studied colonies). The sampling protocol was described by Gorsky et al. (2019). Briefly, unfiltered seawater was collected once a week during the cruise and poisoned with Hg2Cl2 before to be stored on TARA board (356 samples). Like for TARA-Ocean expedition (Picheral et al, 2014) Total Alkalinity (TA) and Total Inorganic Carbon (TC) were measured at the SNAPO-CO2 facility at LOCEAN laboratory (Paris, France) and analyzed simultaneously by potentiometric titration derived from the method developed by Edmond (1970) using a closed cell. Calibrated Certified Reference Material (CRM, Dickson et al, 2007) were regularly analyzed (CRM Batches 155, 173 and 182). Analytical accuracy of the TA and TC concentrations is ±3 µmol.kg-1. Additional parameters of the carbonate system were calculated with CO2SYS.m v3.1.1 (Feb 2021: https://github.com/jonathansharp/CO2-System-Extd) using measured TA-TC data, in-situ seawater salinity and temperature measured at each seawater sampling, and local phosphate and silicate concentrations as inputs.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword(s):,Carbonate chemistry, Pacific Ocean, surface seawater, Tara Pacific, total alkalinity (TA), Total Carbonate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Related to:,"Edmond, John M (1970): High precision determination of titration alkalinity and total carbon dioxide content of sea water by potentiometric titration. Deep Sea Research, 17(4), 737-750, https://doi.org/10.1016/0011-7471(70)90038-0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Gorsky, G"," Bourdin, Guillaume"," Lombard, Fabien"," Pedrotti, Maria Luiza"," Audrain, Samuel"," Bin, Nicolas"," Boss, Emmanuel"," Bowler, Chris"," Cassar, Nicolas"," Caudan, Loic"," Chabot, Genevieve"," Cohen, Natalie R"," Cron, Daniel"," De Vargas, Colomban"," Dolan, John"," Douville, Eric"," Elineau, A"," Flores, J Michel"," Ghiglione, Jean Francois"," Haëntjens, Nils"," Hertau, Martin"," John, Seth G"," Kelly, Rachel Lauren"," Koren, Ilan"," Lin, Y"," Marie, Dominique"," Moulin, Clémentine"," Moucherie, Yohann"," Pesant, Stephane"," Picheral, Marc"," Poulain, Julie"," Pujo-Pay, Mireille"," Reverdin, Gilles"," Romac, Sarah"," Sullivan, Matthew"," Trainic, Miri"," Tressol, Marc"," Troublé, Romain"," Vardi, Assaf"," Voolstra, Christian R"," Wincker, Patrick"," Agostini, Sylvain"," Banaigs, Bernard"," Boissin, Emilie"," Forcioli, Didier"," Furla, Paola"," Galand, Pierre E"," Gilson, Eric"," Reynaud, Stéphanie"," Sunagawa, Shinichi"," Thomas, Olivier"," Vega Thurber, Rebecca"," Zoccola, Didier", Tara Pacific Consortium," Planes, Serge"," Allemand, Denis"," Karsenti, Eric (2019): Expanding Tara Oceans Protocols for Underway, Ecosystemic Sampling of the Ocean-Atmosphere Interface During Tara Pacific Expedition (2016–2018). Frontiers in Marine Science, 6, https://doi.org/10.3389/fmars.2019.00750",
TARA_20161108T1945Z_D_S-SRF_ZODIAC-PUMP,TARA_G100018698,TARA_EVENT_20161108T1945Z_OA000-I07-S03_D_S-SRF_ZODIAC-PUMP,1,3,2,OA000-I07-S03-C000,not-available,[S-SRF] marine surface layer (ENVO:01001581) below the ocean-atmosphere interface (ENVO:01001309) near a coral reef environment (ENVO:00000150),BGC-CARB,no-replicate,TR1,AT-33,analysis date/time=2017-07-03T14:15,[2] good,200,[2] good,2367.3,2368.24692,[2] good,2018.3,2019.10732,[2] good,13.1325,0.2102,0.2102,400.3789702,399.1514634,1764.048849,244.6523772,10.4060941,9.083511607,0.006865287,5.860384571,3.909675049,8.045730219,,,,,,,,,,,,,,,,,,,,,,,
TARA_20161109T0226Z_D_C-COL_SCUBA-CORER,TARA_G100018559,TARA_EVENT_20161109T0226Z_OA000-I07-S03_D_C-COL_SCUBA-CORER,11,11,11,OA000-I07-S03-C901,not-available,[C-CSW] seawater (ENVO:00002149) surrounding a coral colony (CSW = colony-surrounding-water) part of a coral reef environment (ENVO:00000150),BGC-CARB,no-replicate,TR1,AT-32,analysis date/time=2017-07-03T15:13,[2] good,200,[2] good,2378.2,2379.15128,[2] good,2027,2027.8108,[2] good,21.1325,0.2102,0.2102,399.6483771,398.4224188,1770.927483,246.4846247,10.39869198,9.094768052,0.006835855,5.897431518,3.934126217,8.047796696,,,,,,,,,,,,,,,,,,,,,,,
TARA_20161109T0226Z_D_C-COL_SCUBA-CORER,TARA_G100018558,TARA_EVENT_20161109T0226Z_OA000-I07-S03_D_C-COL_SCUBA-CORER,1,3,2,OA000-I07-S03-C901,not-available,[S-SRF] marine surface layer (ENVO:01001581) below the ocean-atmosphere interface (ENVO:01001309) near a coral reef environment (ENVO:00000150),BGC-CARB,no-replicate,TR1,B-17,analysis date/time=2017-07-03T16:45,[2] good,200,[2] good,2379.4,2380.35176,[2] good,2023.8,2024.60952,[2] good,13.1325,0.2102,0.2102,393.1996401,391.9941441,1765.001469,249.3885525,10.21949892,9.25435992,0.006738544,5.973834557,3.985361649,8.053822829,,,,,,,,,,,,,,,,,,,,,,,
TARA_20161110T0116Z_D_I-SRF_DOLPHIN-CARBOY,TARA_G100017364,TARA_EVENT_20161110T0116Z_OA060-I07-S00_D_I-SRF_DOLPHIN-CARBOY,0,0.3,0.15,OA060-I07-S00-C000,not-available,[I-SRFa] sea surface layer (ENVO:01001581) at the ocean-atmosphere interface (ENVO:01001309) near an oceanic island environment (ENVO:00000222),BGC-CARB,R02,TR1,B-09,analysis date/time=2017-07-03T13:55,[2] good,200,[2] good,2377.7,2378.65108,[2] good,2021.9,2022.70876,[2] good,10.4325,0.1807,0.1807,391.7015802,390.5006944,1762.980565,249.5453262,10.18286847,9.273521515,0.006718693,5.982486479,3.990748328,8.055142992,,,,,,,,,,,,,,,,,,,,,,,
TARA_20161110T0116Z_D_I-SRF_DOLPHIN-CARBOY,TARA_G100017365,TARA_EVENT_20161110T0116Z_OA060-I07-S00_D_I-SRF_DOLPHIN-CARBOY,0,0.3,0.15,OA060-I07-S00-C000,not-available,[I-SRFa] sea surface layer (ENVO:01001581) at the ocean-atmosphere interface (ENVO:01001309) near an oceanic island environment (ENVO:00000222),BGC-CARB,R01,TR1,B-15,analysis date/time=2017-07-03T12:59,[2] good,200,[2] good,2377.1,2378.05084,[2] good,2027.5,2028.311,[2] good,10.4325,0.1807,0.1807,402.3001251,401.0667461,1772.30466,245.547946,10.4583935,9.076965705,0.006864182,5.8866551,3.926821913,8.045839002,,,,,,,,,,,,,,,,,,,,,,,
TARA_20161114T0030Z_D_S-SRF_ZODIAC-PUMP,TARA_G100018632,TARA_EVENT_20161114T0030Z_OA000-I08-S01_D_S-SRF_ZODIAC-PUMP,1,3,2,OA000-I08-S01-C000,not-available,[S-SRF] marine surface layer (ENVO:01001581) below the ocean-atmosphere interface (ENVO:01001309) near a coral reef environment (ENVO:00000150),BGC-CARB,R02,TR1,AT-31,analysis date/time=2017-07-03T13:17,[2] good,200,[2] good,2321.5,2322.4286,[2] good,1989,1989.7956,[2] good,13.1325,0.1767,0.1767,391.1606957,389.9470293,1746.655923,232.6971746,10.44250232,8.31981466,0.006860069,5.593401777,3.716176694,8.049829881,,,,,,,,,,,,,,,,,,,,,,,
TARA_20161114T0030Z_D_S-SRF_ZODIAC-PUMP,TARA_G100018633,TARA_EVENT_20161114T0030Z_OA000-I08-S01_D_S-SRF_ZODIAC-PUMP,1,3,2,OA000-I08-S01-C000,not-available,[S-SRF] marine surface layer (ENVO:01001581) below the ocean-atmosphere interface (ENVO:01001309) near a coral reef environment (ENVO:00000150),BGC-CARB,R01,TR1,B-03,analysis date/time=2017-07-03T12:24,[2] good,200,[3] questionable,2321.8,2322.72872,[3] questionable,1975.4,1976.19016,[3] questionable,13.1325,0.1767,0.1767,367.4147821,366.2747929,1724.804938,241.5766456,9.808576769,8.746712711,0.006525252,5.806839902,3.857981952,8.071561091,,,,,,,,,,,,,,,,,,,,,,,
TARA_20161114T0050Z_D_C-COL_SCUBA-CORER,TARA_G100018702,TARA_EVENT_20161114T0050Z_OA000-I08-S01_D_C-COL_SCUBA-CORER,14.1,14.1,14.1,OA000-I08-S01-C901,not-available,[C-CSW] seawater (ENVO:00002149) surrounding a coral colony (CSW = colony-surrounding-water) part of a coral reef environment (ENVO:00000150),BGC-CARB,no-replicate,TR1,B-12,analysis date/time=2017-07-03T11:31,[2] good,200,[2] good,2321.5,2322.4286,[2] good,1995.1,1995.89804,[2] good,24.2325,0.1767,0.1767,402.7899214,401.5405172,1756.385964,228.766252,10.74582374,8.143155078,0.007030976,5.489727051,3.648143908,8.039120596,,,,,,,,,,,,,,,,,,,,,,,
TARA_20161115T1850Z_D_C-CSW-C001_SCUBA-PUMP,TARA_G100018745,TARA_EVENT_20161115T1850Z_OA000-I08-S02_D_C-CSW-C001_SCUBA-PUMP,12,12,12,OA000-I08-S02-C001,not-available,[C-CSW] seawater (ENVO:00002149) surrounding a coral colony (CSW = colony-surrounding-water) part of a coral reef environment (ENVO:00000150),BGC-CARB,no-replicate,TR1,B-04,analysis date/time=2017-07-03T12:07,[2] good,200,[2] good,2338.7,2339.63548,[2] good,2008,2008.8032,[2] good,22.1325,0.1712,0.1712,399.9494481,398.7083229,1765.843194,232.2777019,10.68230419,8.211200358,0.006945611,5.577994435,3.705959502,8.044588116,,,,,,,,,,,,,,,,,,,,,,,
TARA_20161116T0006Z_D_S-SRF_ZODIAC-PUMP,TARA_G100018747,TARA_EVENT_20161116T0006Z_OA000-I08-S02_D_S-SRF_ZODIAC-PUMP,1,3,2,OA000-I08-S02-C000,not-available,[S-SRF] marine surface layer (ENVO:01001581) below the ocean-atmosphere interface (ENVO:01001309) near a coral reef environment (ENVO:00000150),BGC-CARB,no-replicate,TR1,B-16,analysis date/time=2017-07-03T17:03,[2] good,200,[3] questionable,2320.2,2321.12808,[3] questionable,1953.9,1954.68156,[3] questionable,13.1325,0.1725,0.1725,334.9969378,333.9570729,1691.461898,254.267251,8.952410524,9.371478601,0.006069597,6.113044407,4.060753059,8.103144944,,,,,,,,,,,,,,,,,,,,,,,
TARA_20161116T1630Z_D_C-CSW-C001_SCUBA-PUMP,TARA_G100018740,TARA_EVENT_20161116T1630Z_OA000-I08-S03_D_C-CSW-C001_SCUBA-PUMP,10.5,10.5,10.5,OA000-I08-S03-C001,not-available,[C-CSW] seawater (ENVO:00002149) surrounding a coral colony (CSW = colony-surrounding-water) part of a coral reef environment (ENVO:00000150),BGC-CARB,no-replicate,TR1,SN-349,analysis date/time=2017-06-30T09:26,[2] good,200,[2] good,2432.5,2433.473,[2] good,2096.8,2097.63872,[3] questionable,20.6325,0.1897,0.1897,424.1147362,422.7984072,1847.007355,239.2973218,11.33404371,8.083841143,0.007041719,5.749869026,3.819647946,8.038705425,,,,,,,,,,,,,,,,,,,,,,,
TARA_20161117T0042Z_D_S-SRF_ZODIAC-PUMP,TARA_G100018741,TARA_EVENT_20161117T0042Z_OA000-I08-S03_D_S-SRF_ZODIAC-PUMP,1,3,2,OA000-I08-S03-C000,not-available,[S-SRF] marine surface layer (ENVO:01001581) below the ocean-atmosphere interface (ENVO:01001309) near a coral reef environment (ENVO:00000150),BGC-CARB,no-replicate,TR1,SN-350,analysis date/time=2017-06-30T09:44,[2] good,200,[2] good,2363.1,2364.04524,[2] good,1983.6,1984.39344,[2] good,13.1325,0.1247,0.1247,329.2548338,328.233247,1710.812251,264.7877127,8.79347618,9.669693936,0.00589537,6.369303199,4.231132406,8.11574557,,,,,,,,,,,,,,,,,,,,,,,
TARA_20161122T0313Z_D_C-COL_SCUBA-CORER,TARA_G100018566,TARA_EVENT_20161122T0313Z_OA000-I09-S01_D_C-COL_SCUBA-CORER,12.1,12.1,12.1,OA000-I09-S01-C901,not-available,[C-CSW] seawater (ENVO:00002149) surrounding a coral colony (CSW = colony-surrounding-water) part of a coral reef environment (ENVO:00000150),BGC-CARB,no-replicate,TR1,SN-357,analysis date/time=2017-06-30T10:03,[2] good,200,[3] questionable,2382.9,2383.85316,[3] questionable,2041.1,2041.91644,[3] questionable,22.2325,0.0632,0.0632,403.9521021,402.7122411,1788.947701,242.3812295,10.58750994,8.886144592,0.006845404,5.860907019,3.901652591,8.048850635,,,,,,,,,,,,,,,,,,,,,,,
TARA_20161122T2010Z_D_C-CSW-C001_SCUBA-PUMP,TARA_G100017549,TARA_EVENT_20161122T2010Z_OA000-I09-S01_D_C-CSW-C001_SCUBA-PUMP,11.5,11.5,11.5,OA000-I09-S01-C001,not-available,[C-CSW] seawater (ENVO:00002149) surrounding a coral colony (CSW = colony-surrounding-water) part of a coral reef environment (ENVO:00000150),BGC-CARB,no-replicate,TR1,SN-353,analysis date/time=2017-06-30T10:40,[2] good,200,[2] good,2343.6,2344.53744,[2] good,1996.4,1997.19856,[2] good,21.6325,0.0742,0.0742,380.5685286,379.4004395,1742.994306,244.2296235,9.9746308,9.189942553,0.006618762,5.906080374,3.93169849,8.063468922,,,,,,,,,,,,,,,,,,,,,,,
TARA_20161123T0130Z_D_S-SRF_ZODIAC-PUMP,TARA_G100017548,TARA_EVENT_20161123T0130Z_OA000-I09-S01_D_S-SRF_ZODIAC-PUMP,1,3,2,OA000-I09-S01-C000,not-available,[S-SRF] marine surface layer (ENVO:01001581) below the ocean-atmosphere interface (ENVO:01001309) near a coral reef environment (ENVO:00000150),BGC-CARB,no-replicate,TR1,SN-356,analysis date/time=2017-06-30T10:58,[2] good,200,[3] questionable,2335.5,2336.4342,[3] questionable,1970.7,1971.48828,[3] questionable,13.1325,0.0632,0.0632,349.307198,348.2350846,1707.075247,255.257777,9.155255824,9.807859491,0.006197288,6.180337499,4.113844994,8.091992214,,,,,,,,,,,,,,,,,,,,,,,
TARA_20161123T1932Z_D_C-CSW-C001_SCUBA-PUMP,TARA_G100017539,TARA_EVENT_20161123T1932Z_OA000-I09-S02_D_C-CSW-C001_SCUBA-PUMP,7.4,7.4,7.4,OA000-I09-S02-C001,not-available,[C-CSW] seawater (ENVO:00002149) surrounding a coral colony (CSW = colony-surrounding-water) part of a coral reef environment (ENVO:00000150),BGC-CARB,no-replicate,TR1,SN-354,analysis date/time=2017-06-30T12:00,[2] good,200,[2] good,2293.6,2294.51744,[2] good,1971.2,1971.98848,[2] good,17.5325,0.0997,0.0997,409.1232366,407.8704524,1734.835416,226.4742276,10.6788363,8.651138214,0.007128097,5.486843651,3.65412914,8.030773548,,,,,,,,,,,,,,,,,,,,,,,
TARA_20161124T0121Z_D_S-SRF_ZODIAC-PUMP,TARA_G100017538,TARA_EVENT_20161124T0121Z_OA000-I09-S02_D_S-SRF_ZODIAC-PUMP,1,3,2,OA000-I09-S02-C000,not-available,[S-SRF] marine surface layer (ENVO:01001581) below the ocean-atmosphere interface (ENVO:01001309) near a coral reef environment (ENVO:00000150),BGC-CARB,no-replicate,TR1,SN-355,analysis date/time=2017-06-30T11:16,[2] good,200,[3] questionable,3482.6,3483.99304,[3] questionable,3237.3,3238.59492,[4] bad,13.1325,0.0797,0.0797,1285.949733,1282.01218,2990.815803,214.2172062,33.56191086,4.747231957,0.012989552,5.19283137,3.458219518,7.770107123,,,,,,,,,,,,,,,,,,,,,,,
TARA_20161124T0200Z_D_C-COL_SCUBA-CORER,TARA_G100017496,TARA_EVENT_20161124T0200Z_OA000-I09-S02_D_C-COL_SCUBA-CORER,15.1,15.1,15.1,OA000-I09-S02-C901,not-available,[C-CSW] seawater (ENVO:00002149) surrounding a coral colony (CSW = colony-surrounding-water) part of a coral reef environment (ENVO:00000150),BGC-CARB,no-replicate,TR1,SN-358,analysis date/time=2017-06-30T11:42,[2] good,200,[2] good,2291.3,2292.21652,[2] good,1961.8,1962.58472,[2] good,25.2325,0.0797,0.0797,395.0090529,393.7994881,1721.372939,230.90135,10.31043127,8.889652046,0.006941535,5.588312112,3.7220252,8.042343177,,,,,,,,,,,,,,,,,,,,,,,
TARA_20161124T1955Z_D_C-CSW-C001_SCUBA-PUMP,TARA_G100017547,TARA_EVENT_20161124T1955Z_OA000-I09-S03_D_C-CSW-C001_SCUBA-PUMP,7.9,7.9,7.9,OA000-I09-S03-C001,not-available,[C-CSW] seawater (ENVO:00002149) surrounding a coral colony (CSW = colony-surrounding-water) part of a coral reef environment (ENVO:00000150),BGC-CARB,no-replicate,TR1,SN-351,analysis date/time=2017-06-30T12:18,[2] good,200,[2] good,2297.6,2298.51904,[2] good,1963.8,1964.58552,[2] good,18.0325,0.0582,0.0582,388.1907334,387.0003066,1720.594441,233.8319971,10.15908217,8.948600914,0.006830258,5.660682084,3.768768472,8.049620357,,,,,,,,,,,,,,,,,,,,,,,
TARA_20161125T0234Z_D_S-SRF_ZODIAC-PUMP,TARA_G100017546,TARA_EVENT_20161125T0234Z_OA000-I09-S03_D_S-SRF_ZODIAC-PUMP,1,3,2,OA000-I09-S03-C000,not-available,[S-SRF] marine surface layer (ENVO:01001581) below the ocean-atmosphere interface (ENVO:01001309) near a coral reef environment (ENVO:00000150),BGC-CARB,no-replicate,TR1,SN-352,analysis date/time=2017-06-30T10:22,[2] good,200,[2] good,2339.1,2340.03564,[2] good,1986.6,1987.39464,[2] good,13.1325,0.0617,0.0617,370.7056649,369.5688466,1730.113884,247.5789046,9.701851711,9.422044178,0.006483493,5.997604218,3.992830011,8.07222263,,,,,,,,,,,,,,,,,,,,,,,
TARA_20161129T1931Z_D_C-COL_SCUBA-CORER,TARA_G100017432,TARA_EVENT_20161129T1931Z_OA000-I10-S05_D_C-COL_SCUBA-CORER,8.6,8.6,8.6,OA000-I10-S05-C901,not-available,[C-CSW] seawater (ENVO:00002149) surrounding a coral colony (CSW = colony-surrounding-water) part of a coral reef environment (ENVO:00000150),BGC-CARB,no-replicate,TR1,SN-362,analysis date/time=2017-06-30T12:36,[2] good,200,[2] good,2236,2236.8944,[2] good,1940.3,1941.07612,[2] good,18.7325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TARA_20161130T1907Z_D_C-CSW-C001_SCUBA-PUMP,TARA_G100018629,TARA_EVENT_20161130T1907Z_OA000-I10-S01_D_C-CSW-C001_SCUBA-PUMP,11.5,11.5,11.5,OA000-I10-S01-C001,not-available,[C-CSW] seawater (ENVO:00002149) surrounding a coral colony (CSW = colony-surrounding-water) part of a coral reef environment (ENVO:00000150),BGC-CARB,no-replicate,TR1,SN-363,analysis date/time=2017-06-30T12:54,[2] good,200,[2] good,2260.6,2261.50424,[2] good,1970.8,1971.58832,[2] good,21.6325,0.2137,0.2137,516.3695066,514.8420078,1753.348705,205.6146726,12.62494193,8.979567658,0.008584871,5.023287972,3.37712398,7.94124188,,,,,,,,,,,,,,,,,,,,,,,
TARA_20161130T2311Z_D_S-SRF_ZODIAC-PUMP,TARA_G100018820,TARA_EVENT_20161130T2311Z_OA000-I10-S01_D_S-SRF_ZODIAC-PUMP,1,3,2,OA000-I10-S01-C000,not-available,[S-SRF] marine surface layer (ENVO:01001581) below the ocean-atmosphere interface (ENVO:01001309) near a coral reef environment (ENVO:00000150),BGC-CARB,no-replicate,TR1,SN-365,analysis date/time=2017-06-30T13:49,[2] good,200,[2] good,2253,2253.9012,[2] good,1941.1,1941.87644,[2] good,13.1325,0.1567,0.1567,461.2902484,459.9256823,1711.302227,219.2959274,11.27828527,9.811900168,0.007850791,5.363321265,3.605387125,7.980002899,,,,,,,,,,,,,,,,,,,,,,,
TARA_20161201T1843Z_D_C-CSW-C001_SCUBA-PUMP,TARA_G100018821,TARA_EVENT_20161201T1843Z_OA000-I10-S02_D_C-CSW-C001_SCUBA-PUMP,6.1,6.1,6.1,OA000-I10-S02-C001,not-available,[C-CSW] seawater (ENVO:00002149) surrounding a coral colony (CSW = colony-surrounding-water) part of a coral reef environment (ENVO:00000150),BGC-CARB,no-replicate,TR1,SN-359,analysis date/time=2017-06-30T13:13,[2] good,200,[2] good,2270.3,2271.20812,[2] good,1966.3,1967.08652,[2] good,16.2325,0.198,0.198,456.5026358,455.1270354,1740.886765,214.6317093,11.56804552,8.751528387,0.007791302,5.232476576,3.498023679,7.988422248,,,,,,,,,,,,,,,,,,,,,,,
TARA_20161201T2313Z_D_S-SRF_ZODIAC-PUMP,TARA_G100018811,TARA_EVENT_20161201T2313Z_OA000-I10-S02_D_S-SRF_ZODIAC-PUMP,1,3,2,OA000-I10-S02-C000,not-available,[S-SRF] marine surface layer (ENVO:01001581) below the ocean-atmosphere interface (ENVO:01001309) near a coral reef environment (ENVO:00000150),BGC-CARB,no-replicate,TR1,SN-361,analysis date/time=2017-06-30T15:01,[2] good,200,[2] good,2265.2,2266.10608,[2] good,1941.5,1942.2766,[2] good,13.1325,0.1555,0.1555,413.9578083,412.7103418,1704.824377,226.9612188,10.49100407,9.447660975,0.00721275,5.535205662,3.700225249,8.021923636,,,,,,,,,,,,,,,,,,,,,,,
TARA_20161202T1858Z_D_C-CSW-C001_SCUBA-PUMP,TARA_G100018808,TARA_EVENT_20161202T1858Z_OA000-I10-S03_D_C-CSW-C001_SCUBA-PUMP,7,7,7,OA000-I10-S03-C001,not-available,[C-CSW] seawater (ENVO:00002149) surrounding a coral colony (CSW = colony-surrounding-water) part of a coral reef environment (ENVO:00000150),BGC-CARB,no-replicate,TR1,SN-364,analysis date/time=2017-06-30T13:31,[2] good,200,[2] good,2244.4,2245.29776,[2] good,1963.6,1964.38544,[2] good,17.1325,0.2185,0.2185,504.8887339,503.372649,1752.599413,199.077846,12.70818097,8.181079247,0.008528621,4.856143365,3.249701963,7.948237866,,,,,,,,,,,,,,,,,,,,,,,
TARA_20161203T0000Z_D_S-SRF_ZODIAC-PUMP,TARA_G100018804,TARA_EVENT_20161203T0000Z_OA000-I10-S03_D_S-SRF_ZODIAC-PUMP,1,3,2,OA000-I10-S03-C000,not-available,[S-SRF] marine surface layer (ENVO:01001581) below the ocean-atmosphere interface (ENVO:01001309) near a coral reef environment (ENVO:00000150),BGC-CARB,no-replicate,TR1,SN-360,analysis date/time=2017-06-30T14:43,[2] good,200,[2] good,2241,2241.8964,[2] good,1896.6,1897.35864,[2] good,13.1325,0.2305,0.2305,373.4069597,372.2871439,1648.803533,239.1782669,9.376840141,10.50535497,0.006692669,5.840572588,3.909506395,8.053189814,,,,,,,,,,,,,,,,,,,,,,,
TARA_20161204T1621Z_D_I-SRF_DOLPHIN-CARBOY,TARA_G100018668,TARA_EVENT_20161204T1621Z_OA072-I11-S00_D_I-SRF_DOLPHIN-CARBOY,0,0.3,0.15,OA072-I11-S00-C000,not-available,[I-SRFa] sea surface layer (ENVO:01001581) at the ocean-atmosphere interface (ENVO:01001309) near an oceanic island environment (ENVO:00000222),BGC-CARB,R02,TR1,SN-366,analysis date/time=2017-07-06T12:26,[2] good,200,[2] good,2280.7,2281.61228,[2] good,1937.3,1938.07492,[2] good,10.4325,0.1515,0.1515,395.1099038,393.9277793,1688.154406,240.0550195,9.865494655,10.38662237,0.006897879,5.853932816,3.922826468,8.039103071,,,,,,,,,,,,,,,,,,,,,,,
TARA_20161204T1621Z_D_I-SRF_DOLPHIN-CARBOY,TARA_G100018669,TARA_EVENT_20161204T1621Z_OA072-I11-S00_D_I-SRF_DOLPHIN-CARBOY,0,0.3,0.15,OA072-I11-S00-C000,not-available,[I-SRFa] sea surface layer (ENVO:01001581) at the ocean-atmosphere interface (ENVO:01001309) near an oceanic island environment (ENVO:00000222),BGC-CARB,R01,TR1,AT-91,analysis date/time=2017-06-30T14:25,[2] good,200,[2] good,2274.8,2275.70992,[2] good,1940,1940.776,[2] good,10.4325,0.1515,0.1515,408.6547926,407.4321433,1696.244136,234.3281674,10.20369683,10.09048066,0.007100322,5.714278967,3.829241893,8.026540583,,,,,,,,,,,,,,,,,,,,,,,
TARA_20161218T0300Z_D_C-COL_SCUBA-CORER,TARA_G100018673,TARA_EVENT_20161218T0300Z_OA000-I11-S01_D_C-COL_SCUBA-CORER,20,20,20,OA000-I11-S01-C901,not-available,[C-CSW] seawater (ENVO:00002149) surrounding a coral colony (CSW = colony-surrounding-water) part of a coral reef environment (ENVO:00000150),BGC-CARB,no-replicate,TR1,AT-95,analysis date/time=2017-07-06T11:12,[2] good,200,[2] good,2251.8,2252.70072,[2] good,1926.3,1927.07052,[2] good,30.1325,0.257588297,0.257588297,402.0647184,400.8521731,1689.154252,227.7003352,10.21593239,9.547397287,0.00708799,5.551137211,3.709118827,8.030117456,,,,,,,,,,,,,,,,,,,,,,,
TARA_20161230T2017Z_D_C-CSW-C001_SCUBA-PUMP,TARA_G100015867,TARA_EVENT_20161230T2017Z_OA000-I12-S01_D_C-CSW-C001_SCUBA-PUMP,12.5,12.5,12.5,OA000-I12-S01-C001,not-available,[C-CSW] seawater (ENVO:00002149) surrounding a coral colony (CSW = colony-surrounding-water) part of a coral reef environment (ENVO:00000150),BGC-CARB,no-replicate,TR1,AT-94,analysis date/time=2017-07-04T17:07,[2] good,200,[2] good,2293.9,2294.81756,[2] good,1965.9,1966.68636,[2] good,22.6325,0.136,0.136,431.7298521,430.437202,1725.556787,230.3515255,10.77804745,9.706968665,0.007389208,5.59118388,3.748694339,8.009072909,,,,,,,,,,,,,,,,,,,,,,,
TARA_20161231T0209Z_D_S-SRF_ZODIAC-PUMP,TARA_G100015873,TARA_EVENT_20161231T0209Z_OA000-I12-S01_D_S-SRF_ZODIAC-PUMP,1,3,2,OA000-I12-S01-C000,not-available,[S-SRF] marine surface layer (ENVO:01001581) below the ocean-atmosphere interface (ENVO:01001309) near a coral reef environment (ENVO:00000150),BGC-CARB,no-replicate,TR1,AT-103,analysis date/time=2017-07-06T10:55,[2] good,200,[2] good,2278.7,2279.61148,[2] good,1939.5,1940.2758,[2] good,13.1325,0.184,0.184,404.5223211,403.3111335,1693.371675,236.805308,10.098817,10.16804208,0.007048276,5.754918124,3.858065616,8.029522328,,,,,,,,,,,,,,,,,,,,,,,
TARA_20161231T2059Z_D_C-CSW-C001_SCUBA-PUMP,TARA_G100015890,TARA_EVENT_20161231T2059Z_OA000-I12-S02_D_C-CSW-C001_SCUBA-PUMP,9.7,9.7,9.7,OA000-I12-S02-C001,not-available,[C-CSW] seawater (ENVO:00002149) surrounding a coral colony (CSW = colony-surrounding-water) part of a coral reef environment (ENVO:00000150),BGC-CARB,no-replicate,TR1,AT-106,analysis date/time=2017-07-06T11:49,[2] good,200,[3] questionable,2285.8,2286.71432,[3] questionable,1948.3,1949.07932,[3] questionable,19.8325,0.1805,0.1805,400.2612907,399.0565299,1702.709057,236.2623262,10.107937,9.88425616,0.006979227,5.745241666,3.844085674,8.035612022,,,,,,,,,,,,,,,,,,,,,,,
